date,home_team,away_team,lambda_home,lambda_away,top_score,exp_home_goals,exp_away_goals,xgb_pred_result,xgb_pred_goals,xgb_pred_corners,xgb_pred_yellows,xgb_1X2_H,poi_1X2_H,avg_1X2_H,diff_1X2_H,conf_1X2_H,xgb_1X2_D,poi_1X2_D,avg_1X2_D,diff_1X2_D,conf_1X2_D,xgb_1X2_A,poi_1X2_A,avg_1X2_A,diff_1X2_A,conf_1X2_A,xgb_over25,poi_over25,avg_over25,diff_over25,conf_over25,xgb_btts,poi_btts,avg_btts,diff_btts,conf_btts,confidence
2026-06-22,Argentina,Austria,2.328,0.82,2-0,2.322,0.819,H,3.0199999809265137,7.929999828338623,,1.45,1.41,1.43,2.8,ALTA,4.28,5.77,5.03,29.7,BAJA,13.23,8.69,10.96,41.4,BAJA,1.84,1.64,1.74,11.5,MEDIA,2.31,1.98,2.15,15.4,MEDIA,BAJA
2026-06-22,Jordan,Algeria,1.073,1.342,1-1,1.073,1.342,A,2.5399999618530273,9.149999618530272,,4.21,3.35,3.78,22.8,MEDIA,4.03,3.67,3.85,9.4,ALTA,1.94,2.33,2.13,18.3,MEDIA,1.94,2.3,2.12,17.0,MEDIA,1.93,2.06,2.0,6.5,ALTA,MEDIA
2026-06-23,Portugal,Uzbekistan,2.116,0.929,2-0,2.112,0.928,H,2.6600000858306885,7.539999961853027,,1.57,1.55,1.56,1.3,ALTA,5.08,5.04,5.06,0.8,ALTA,5.99,6.45,6.22,7.4,ALTA,1.93,1.71,1.82,12.1,MEDIA,2.11,1.88,1.99,11.5,MEDIA,MEDIA
2026-06-23,Colombia,DR Congo,1.866,0.74,1-0,1.864,0.74,H,2.7699999809265137,9.920000076293944,,1.41,1.56,1.48,10.1,MEDIA,4.58,4.61,4.6,0.7,ALTA,13.46,7.05,10.26,62.5,BAJA,1.99,2.07,2.03,3.9,ALTA,2.36,2.26,2.31,4.3,ALTA,BAJA
2026-06-23,Panama,Croatia,0.967,1.691,0-1,0.967,1.691,A,2.4800000190734863,7.570000171661377,,5.73,4.65,5.19,20.8,MEDIA,3.42,4.15,3.79,19.3,MEDIA,1.87,1.84,1.85,1.6,ALTA,2.22,2.02,2.12,9.4,ALTA,2.1,1.98,2.04,5.9,ALTA,MEDIA
2026-06-23,England,Ghana,2.52,0.541,2-0,2.509,0.54,H,3.2300000190734863,9.140000343322754,,1.15,1.25,1.2,8.3,ALTA,9.89,7.35,8.62,29.5,BAJA,37.31,16.81,27.06,75.8,BAJA,1.67,1.7,1.69,1.8,ALTA,2.18,2.6,2.39,17.6,MEDIA,BAJA
2026-06-24,Bosnia and Herzegovina,Qatar,1.469,0.941,1-0,1.469,0.94,H,2.630000114440918,7.010000228881836,,2.12,2.02,2.07,4.8,ALTA,3.33,3.79,3.56,12.9,MEDIA,4.41,4.14,4.28,6.3,ALTA,2.08,2.31,2.2,10.5,MEDIA,2.2,2.13,2.17,3.2,ALTA,MEDIA
2026-06-24,Morocco,Haiti,2.019,0.686,2-0,2.016,0.685,H,2.5999999046325684,8.470000267028809,,1.51,1.46,1.48,3.4,ALTA,3.89,5.08,4.49,26.5,BAJA,12.29,8.61,10.45,35.2,BAJA,1.97,1.97,1.97,0.0,ALTA,2.23,2.32,2.27,4.0,ALTA,BAJA
2026-06-24,South Africa,South Korea,0.924,1.496,0-1,0.924,1.495,A,2.4600000381469727,8.649999618530273,,7.98,4.29,6.13,60.1,BAJA,3.7,3.82,3.76,3.2,ALTA,1.66,1.98,1.82,17.6,MEDIA,2.24,2.3,2.27,2.6,ALTA,2.13,2.14,2.13,0.5,ALTA,BAJA
2026-06-24,Czech Republic,Mexico,0.951,1.598,0-1,0.951,1.598,A,2.369999885559082,8.770000457763672,,6.28,4.45,5.37,34.1,BAJA,4.51,3.99,4.25,12.2,MEDIA,1.62,1.91,1.77,16.4,MEDIA,2.67,2.13,2.4,22.5,MEDIA,2.15,2.04,2.09,5.3,ALTA,BAJA
2026-06-24,Scotland,Brazil,0.802,1.78,0-1,0.802,1.779,A,2.490000009536743,9.279999732971191,,8.85,6.06,7.46,37.4,BAJA,3.95,4.37,4.16,10.1,MEDIA,1.58,1.65,1.61,4.3,ALTA,2.22,2.1,2.16,5.6,ALTA,2.16,2.18,2.17,0.9,ALTA,BAJA
2026-06-24,Switzerland,Canada,1.37,1.109,1-1,1.37,1.109,H,2.4100000858306885,9.109999656677246,,2.11,2.34,2.22,10.3,MEDIA,3.08,3.72,3.4,18.8,MEDIA,4.93,3.3,4.12,39.6,BAJA,2.19,2.22,2.21,1.4,ALTA,2.0,2.0,2.0,0.0,ALTA,BAJA
2026-06-25,Curacao,Ivory Coast,0.917,1.58,0-1,0.917,1.58,A,2.369999885559082,8.510000228881836,,6.68,4.57,5.62,37.5,BAJA,3.3,3.96,3.63,18.2,MEDIA,1.83,1.89,1.86,3.2,ALTA,2.29,2.2,2.25,4.0,ALTA,2.08,2.1,2.09,1.0,ALTA,BAJA
2026-06-25,Paraguay,Australia,1.413,0.86,1-0,1.413,0.86,H,2.319999933242798,6.349999904632568,,2.0,2.0,2.0,0.0,ALTA,3.01,3.68,3.34,20.0,MEDIA,5.93,4.37,5.15,30.3,BAJA,2.4,2.52,2.46,4.9,ALTA,2.26,2.29,2.27,1.3,ALTA,BAJA
2026-06-25,Turkey,United States,1.443,1.182,1-1,1.443,1.182,H,2.940000057220459,10.220000267028809,,2.08,2.32,2.2,10.9,MEDIA,4.7,3.85,4.28,19.9,MEDIA,3.27,3.23,3.25,1.2,ALTA,1.7,2.05,1.88,18.7,MEDIA,1.94,1.89,1.92,2.6,ALTA,MEDIA
2026-06-25,Tunisia,Netherlands,0.822,2.04,0-2,0.822,2.038,A,2.5299999713897705,7.53000020980835,,10.64,7.07,8.86,40.3,BAJA,3.77,4.96,4.37,27.3,BAJA,1.56,1.52,1.54,2.6,ALTA,2.41,1.83,2.12,27.4,BAJA,2.22,2.05,2.13,8.0,ALTA,BAJA
