model_variant,home_team,away_team,mercado,seleccion,cuota,prob_modelo,ev_pct,win,profit,resultado_real
xgb_clean,Switzerland,Cameroon,1X2-H,Switzerland,1.75,0.6439,12.68,True,0.75,1-0
poisson_dixon_coles,Switzerland,Cameroon,1X2-H,Switzerland,1.75,0.6661,16.57,True,0.75,1-0
ensemble_raw,Switzerland,Cameroon,1X2-H,Switzerland,1.75,0.66,15.5,True,0.75,1-0
ensemble_calibrated,Switzerland,Cameroon,1X2-H,Switzerland,1.75,0.6731,17.79,True,0.75,1-0
xgb_clean,Switzerland,Cameroon,1X2-D,Draw,3.64,0.2339,-14.84,False,-1.0,1-0
poisson_dixon_coles,Switzerland,Cameroon,1X2-D,Draw,3.64,0.2115,-23.01,False,-1.0,1-0
ensemble_raw,Switzerland,Cameroon,1X2-D,Draw,3.64,0.2177,-20.74,False,-1.0,1-0
ensemble_calibrated,Switzerland,Cameroon,1X2-D,Draw,3.64,0.2294,-16.49,False,-1.0,1-0
xgb_clean,Brazil,Serbia,1X2-H,Brazil,1.47,0.7742,13.81,True,0.47,2-0
poisson_dixon_coles,Brazil,Serbia,1X2-H,Brazil,1.47,0.7432,9.25,True,0.47,2-0
ensemble_raw,Brazil,Serbia,1X2-H,Brazil,1.47,0.7518,10.51,True,0.47,2-0
ensemble_calibrated,Brazil,Serbia,1X2-H,Brazil,1.47,0.7757,14.03,True,0.47,2-0
xgb_clean,Brazil,Serbia,1X2-A,Serbia,7.42,0.0713,-47.13,False,-1.0,2-0
poisson_dixon_coles,Brazil,Serbia,1X2-A,Serbia,7.42,0.0829,-38.49,False,-1.0,2-0
ensemble_raw,Brazil,Serbia,1X2-A,Serbia,7.42,0.0797,-40.88,False,-1.0,2-0
ensemble_calibrated,Brazil,Serbia,1X2-A,Serbia,7.42,0.0475,-64.72,False,-1.0,2-0
xgb_clean,Brazil,Serbia,1X2-D,Draw,4.77,0.1546,-26.28,False,-1.0,2-0
poisson_dixon_coles,Brazil,Serbia,1X2-D,Draw,4.77,0.1739,-17.05,False,-1.0,2-0
ensemble_raw,Brazil,Serbia,1X2-D,Draw,4.77,0.1685,-19.61,False,-1.0,2-0
ensemble_calibrated,Brazil,Serbia,1X2-D,Draw,4.77,0.1767,-15.7,False,-1.0,2-0
xgb_clean,Wales,Iran,1X2-A,Iran,3.99,0.292,16.53,True,2.99,0-2
poisson_dixon_coles,Wales,Iran,1X2-A,Iran,3.99,0.3702,47.71,True,2.99,0-2
ensemble_raw,Wales,Iran,1X2-A,Iran,3.99,0.3485,39.05,True,2.99,0-2
ensemble_calibrated,Wales,Iran,1X2-A,Iran,3.99,0.3278,30.8,True,2.99,0-2
xgb_clean,Wales,Iran,1X2-H,Wales,2.18,0.4404,-4.0,False,-1.0,0-2
poisson_dixon_coles,Wales,Iran,1X2-H,Wales,2.18,0.3401,-25.86,False,-1.0,0-2
ensemble_raw,Wales,Iran,1X2-H,Wales,2.18,0.3679,-19.8,False,-1.0,0-2
ensemble_calibrated,Wales,Iran,1X2-H,Wales,2.18,0.351,-23.49,False,-1.0,0-2
xgb_clean,Wales,Iran,1X2-D,Draw,3.23,0.2676,-13.57,False,-1.0,0-2
poisson_dixon_coles,Wales,Iran,1X2-D,Draw,3.23,0.2898,-6.39,False,-1.0,0-2
ensemble_raw,Wales,Iran,1X2-D,Draw,3.23,0.2836,-8.39,False,-1.0,0-2
ensemble_calibrated,Wales,Iran,1X2-D,Draw,3.23,0.3212,3.75,False,-1.0,0-2
xgb_clean,Netherlands,Ecuador,1X2-A,Ecuador,4.89,0.2163,5.75,False,-1.0,1-1
poisson_dixon_coles,Netherlands,Ecuador,1X2-A,Ecuador,4.89,0.2078,1.61,False,-1.0,1-1
ensemble_raw,Netherlands,Ecuador,1X2-A,Ecuador,4.89,0.2101,2.76,False,-1.0,1-1
ensemble_calibrated,Netherlands,Ecuador,1X2-A,Ecuador,4.89,0.2042,-0.16,False,-1.0,1-1
xgb_clean,Netherlands,Ecuador,1X2-H,Netherlands,1.87,0.5689,6.38,False,-1.0,1-1
poisson_dixon_coles,Netherlands,Ecuador,1X2-H,Netherlands,1.87,0.5081,-4.99,False,-1.0,1-1
ensemble_raw,Netherlands,Ecuador,1X2-H,Netherlands,1.87,0.525,-1.83,False,-1.0,1-1
ensemble_calibrated,Netherlands,Ecuador,1X2-H,Netherlands,1.87,0.5087,-4.87,False,-1.0,1-1
xgb_clean,Netherlands,Ecuador,1X2-D,Draw,3.55,0.2149,-23.72,True,2.55,1-1
poisson_dixon_coles,Netherlands,Ecuador,1X2-D,Draw,3.55,0.2841,0.86,True,2.55,1-1
ensemble_raw,Netherlands,Ecuador,1X2-D,Draw,3.55,0.2649,-5.96,True,2.55,1-1
