date,home_team,away_team,mercado,seleccion,bookmaker,cuota,prob_modelo,cuota_justa,ev_pct,fiabilidad_pct,fiabilidad_nivel
2026-06-12,Canada,Bosnia and Herzegovina,Under 2.5,Under,pmu_fr,1.54,0.5697,1.755,-12.27,51.8,MEDIA
2026-06-24,Czech Republic,Mexico,Over 2.5,Over,williamhill,2.05,0.4255,2.35,-12.77,70.6,ALTA
2026-06-18,Canada,Qatar,Over 2.5,Over,pmu_fr,1.83,0.4763,2.1,-12.84,63.1,MEDIA
2026-06-13,Haiti,Scotland,Over 2.5,Over,pinnacle,1.99,0.4378,2.284,-12.88,45.9,BAJA
2026-06-26,Uruguay,Spain,Over 2.5,Over,pinnacle,1.87,0.4658,2.147,-12.9,55.3,MEDIA
2026-06-27,Colombia,Portugal,Under 2.5,Under,williamhill,1.67,0.5209,1.92,-13.01,78.3,ALTA
2026-06-23,Panama,Croatia,Over 2.5,Over,williamhill,1.95,0.4456,2.244,-13.11,73.1,ALTA
2026-06-20,Germany,Ivory Coast,Under 2.5,Under,pmu_fr,1.85,0.4697,2.129,-13.11,52.2,MEDIA
2026-06-24,Czech Republic,Mexico,Over 2.5,Over,pmu_fr,2.04,0.4255,2.35,-13.2,70.6,ALTA
2026-06-13,Qatar,Switzerland,Over 2.5,Over,pmu_fr,1.53,0.5665,1.765,-13.33,49.8,BAJA
2026-06-21,Belgium,Iran,Under 2.5,Under,pinnacle,1.95,0.4441,2.252,-13.4,67.0,ALTA
2026-06-14,Netherlands,Japan,Over 2.5,Over,pmu_fr,1.8,0.4798,2.084,-13.64,93.0,MUY ALTA
2026-06-24,Switzerland,Canada,Under 2.5,Under,pmu_fr,1.57,0.5493,1.82,-13.76,57.5,MEDIA
2026-06-22,Norway,Senegal,Under 2.5,Under,williamhill,1.75,0.4926,2.03,-13.79,46.8,BAJA
2026-06-26,Uruguay,Spain,Over 2.5,Over,williamhill,1.85,0.4658,2.147,-13.83,55.3,MEDIA
2026-06-17,Portugal,DR Congo,Over 2.5,Over,williamhill,1.62,0.5319,1.88,-13.83,55.4,MEDIA
2026-06-22,Jordan,Algeria,Over 2.5,Over,williamhill,1.91,0.4511,2.217,-13.84,55.6,MEDIA
2026-06-14,Sweden,Tunisia,Under 2.5,Under,williamhill,1.62,0.5317,1.881,-13.86,59.5,MEDIA
2026-06-25,Turkey,United States,Under 2.5,Under,williamhill,1.83,0.4699,2.128,-14.01,71.6,ALTA
2026-06-19,Brazil,Haiti,Under 2.5,Under,williamhill,3.5,0.2455,4.073,-14.07,44.3,BAJA
2026-06-24,Morocco,Haiti,Over 2.5,Over,pmu_fr,1.55,0.5544,1.804,-14.07,38.9,BAJA
2026-06-11,South Korea,Czech Republic,Under 2.5,Under,pmu_fr,1.55,0.5534,1.807,-14.22,67.6,ALTA
2026-06-22,Norway,Senegal,Under 2.5,Under,pmu_fr,1.74,0.4926,2.03,-14.29,46.8,BAJA
2026-06-23,Portugal,Uzbekistan,Over 2.5,Over,williamhill,1.5,0.5711,1.751,-14.33,64.7,MEDIA
2026-06-18,Mexico,South Korea,Over 2.5,Over,williamhill,2.15,0.3978,2.514,-14.47,73.9,ALTA
2026-06-17,Ghana,Panama,Under 2.5,Under,pmu_fr,1.57,0.5443,1.837,-14.54,62.1,MEDIA
2026-06-21,New Zealand,Egypt,Over 2.5,Over,williamhill,2.1,0.4063,2.461,-14.68,53.0,MEDIA
2026-06-13,Australia,Turkey,Over 2.5,Over,pmu_fr,1.91,0.4462,2.241,-14.78,69.3,ALTA
2026-06-26,Senegal,Iraq,Over 2.5,Over,pinnacle,1.87,0.4538,2.204,-15.14,38.0,BAJA
2026-06-24,Scotland,Brazil,Over 2.5,Over,williamhill,1.75,0.4849,2.062,-15.14,51.7,MEDIA
2026-06-21,Belgium,Iran,Under 2.5,Under,williamhill,1.91,0.4441,2.252,-15.18,67.0,ALTA
2026-06-22,Jordan,Algeria,Over 2.5,Over,pinnacle,1.88,0.4511,2.217,-15.19,55.6,MEDIA
2026-06-12,United States,Paraguay,Under 2.5,Under,pmu_fr,1.6,0.5284,1.893,-15.46,66.4,ALTA
