team_canonical,player_name,club,position_broad
Austria,Sasa Kalajdzic,LASK Linz,Forward
Jordan,Abdallah Al-Fakhouri,Al-Wehdat,Goalkeeper
Jordan,Ahmad Al-Juaidi,Shabab Al-Ordon,Goalkeeper
Jordan,Yazeed Abulaila,Al-Hussein Irbid,Goalkeeper
Jordan,Yazan Al-Arab,FC Seoul,Defender
Jordan,Abdallah Nasib,Al-Zawraa,Defender
Jordan,Bara' Marei,Al-Faisaly,Defender
Jordan,Feras Shelbaieh,Al-Wehdat,Defender
Jordan,Hussam Abu Dahab,Al-Faisaly,Defender
Jordan,Ihsan Haddad,Al-Hussein Irbid,Defender
Jordan,Mohammad Abu Hasheesh,Al-Hussein Irbid,Defender
Jordan,Saed Al-Rosan,Al-Hussein Irbid,Defender
Jordan,Salem Al-Ajalin,Al-Faisaly,Defender
Jordan,Mohannad Abu Taha,Al-Wehdat,Midfielder
Jordan,Nizar Al-Rashdan,Qatar SC,Midfielder
Jordan,Noor Al-Rawabdeh,Selangor,Midfielder
Jordan,Rajaei Ayed,Al-Hussein,Midfielder
Jordan,Ibrahim Sadeh,Al-Karma,Midfielder
Jordan,Anas Al-Awadat,Al-Wehdat,Midfielder
Jordan,Mahmoud Al-Mardi,Al-Hussein Irbid,Midfielder
Jordan,"Mohammad Abu Zrayq ""Sharara""",Al-Wehdat,Midfielder
Jordan,Saleh Ratib,Al-Wehdat,Midfielder
Jordan,Ali Olwan,Al-Sailiaya,Forward
Jordan,Ibrahim Sabra,Lokomotiva Zagreb,Forward
Jordan,Aref Al-Haj,Al-Faisaly,Forward
Jordan,Musa Al-Taamari,Montpellier HSC,Forward
Jordan,Yazan Al-Naimat,Al-Ahli SC,Forward
Portugal,Diogo Costa,Porto,Goalkeeper
Portugal,José Sá,Wolverhampton Wanderers,Goalkeeper
Portugal,Rui Silva,Sporting Lisbon,Goalkeeper
Portugal,Rúben Dias,Manchester City,Defender
Portugal,João Cancelo,Barcelona,Defender
Portugal,Diogo Dalot,Manchester United,Defender
Portugal,Nuno Mendes,Paris Saint-Germain,Defender
Portugal,Gonçalo Inacio,Sporting Lisbon,Defender
Portugal,António Silva,SL Benfica,Defender
Portugal,Raphaël Guerreiro,Bayern Múnich,Defender
Portugal,Tiago Djaló,FC Porto,Defender
Portugal,Matheus Nunes,Manchester City,Midfielder
Portugal,Bruno Fernandes,Manchester United,Midfielder
Portugal,Bernardo Silva,Manchester City,Midfielder
Portugal,Vitinha,PSG,Midfielder
Portugal,João Neves,PSG,Midfielder
Portugal,Rúben Neves,Al Hilal,Midfielder
Portugal,João Palhinha,Bayern Múnich,Midfielder
Portugal,Otávio,Al-Nassr,Midfielder
Portugal,Cristiano Ronaldo,Al Nassr,Forward
Portugal,Rafael Leão,AC Milan,Forward
Portugal,João Félix,Al Nassr,Forward
Portugal,Gonçalo Ramos,PSG,Forward
Portugal,Pedro Neto,Chelsea,Forward
Portugal,Francisco Conceição,Juventus,Forward
Portugal,Diogo Jota,Liverpool FC,Forward
DR Congo,Lionel Mpasi,Le Havre,Goalkeeper
DR Congo,Timothy Fayulu,FC Noah,Goalkeeper
DR Congo,Matthieu Epolo,Standard Liege,Goalkeeper
DR Congo,Chancel Mbemba,Lille,Defender
DR Congo,Axel Tuanzebe,Burnley,Defender
DR Congo,Arthur Masuaku,Lens,Defender
DR Congo,Gedeon Kalulu,Aris Limassol,Defender
DR Congo,Joris Kayembe,Genk,Defender
DR Congo,Aaron Wan-Bissaka,West Ham United,Defender
DR Congo,Steve Kapuadi,Widzew Łódź,Defender
DR Congo,Dylan Batubinsika,AEL,Defender
DR Congo,Rocky Bushiri,Hibernian FC,Defender
DR Congo,Noah Sadiki,Sunderland,Midfielder
DR Congo,Charles Pickel,Espanyol,Midfielder
DR Congo,Edo Kayembe,Watford,Midfielder
DR Congo,Samuel Moutoussamy,Atromitos,Midfielder
DR Congo,Ngal'ayel Mukau,Lille,Midfielder
DR Congo,Nathanaël Mbuku,Montpellier,Midfielder
DR Congo,Brian Cipenga,Castellón,Midfielder
DR Congo,Gaël Kakuta,AEL,Midfielder
DR Congo,Théo Bongonda,Spartak Moscow,Midfielder
DR Congo,Simon Banza,Al Jazira,Forward
DR Congo,Yoane Wissa,Newcastle United,Forward
DR Congo,Fiston Mayele,Pyramids FC,Forward
DR Congo,Cédric Bakambu,Real Betis,Forward
DR Congo,Meschack Elia,Alanyaspor,Forward
Uzbekistan,Utkir Yusupov,Navbahor,Goalkeeper
Uzbekistan,Botirali Ergashev,AGMK,Goalkeeper
Uzbekistan,Abduvohid Nematov,Nasaf,Goalkeeper
Uzbekistan,Abdukodir Khusanov,Manchester City,Defender
Uzbekistan,Abdulla Abdullaev,Dibba Al Fujairah,Defender
Uzbekistan,Farrukh Sayfiev,Neftchi,Defender
Uzbekistan,Sherzod Nasrullaev,Nasaf,Defender
Uzbekistan,Husniddin Aliqulov,Çaykur Rizespor,Defender
Uzbekistan,Rustam Ashurmatov,Rubin Kazán,Defender
Uzbekistan,Umar Eshmurodov,Selangor FC,Defender
Uzbekistan,Zafarmurod Abdurakhmatov,Nasaf,Defender
Uzbekistan,Otabek Shukurov,Baniyas,Midfielder
Uzbekistan,Jamshid Iskanderov,Neftchi,Midfielder
Uzbekistan,Jaloliddin Masharipov,Esteghlal,Midfielder
Uzbekistan,Oston Urunov,Persepolis,Midfielder
Uzbekistan,Abbosbek Fayzullaev,CSKA Moscú,Midfielder
Uzbekistan,Azizbek Turgunboev,Sivasspor,Midfielder
Uzbekistan,Diyor Kholmatov,Pakhtakor,Midfielder
Uzbekistan,Khojimat Erkinov,Al Wahda,Midfielder
Uzbekistan,Odiljon Hamrobekov,Navbahor,Midfielder
Uzbekistan,Azizbek Amonov,Buxoro,Forward
Uzbekistan,Igor Sergeev,Persepolis,Forward
Uzbekistan,Eldor Shomurodov,Istanbul Basaksehir,Forward
Uzbekistan,Bobur Abdikholikov,Nasaf,Forward
Uzbekistan,Husayin Norchaev,Neftchi,Forward
Uzbekistan,Jasurbek Yakhshiboev,Ordabasy,Forward
Colombia,Álvaro Montero,Vélez Sarsfield-ARG,Goalkeeper
Colombia,David Ospina,Atlético Nacional,Goalkeeper
Colombia,Camilo Vargas,Atlas-MEX,Goalkeeper
Colombia,Santiago Arias,Independiente-ARG,Defender
Colombia,Willer Ditta,Cruz Azul-MEX,Defender
Colombia,Jhon Lucumí,Bologna-ITA,Defender
Colombia,Deiver Machado,Nantes-FRA,Defender
Colombia,Yerry Mina,Cagliari-ITA,Defender
Colombia,Johan Mojica,Mallorca-ESP,Defender
Colombia,Daniel Muñoz,Crystal Palace-GBR,Defender
Colombia,Davinson Sánchez,Galatasaray-TUR,Defender
Colombia,Jhon Arias,Palmeiras-BRA,Midfielder
Colombia,Jaminton Campaz,Rosario Central-ARG,Midfielder
Colombia,Jorge Carrascal,Flamengo-BRA,Midfielder
Colombia,Kevin Castaño,River Plate-ARG,Midfielder
Colombia,Jefferson Lerma,Crystal Palace-GBR,Midfielder
Colombia,Juan Camilo Portilla,Athletico Paranaense-BRA,Midfielder
Colombia,Gustavo Puerta,Racing-ESP,Midfielder
Colombia,Juan Fernando Quintero,River Plate-ARG,Midfielder
Colombia,James Rodríguez,Minnesota United-USA,Midfielder
Colombia,Richard Ríos,Benfica-POR,Midfielder
Colombia,Jhon Córdoba,Krasnodar-RUS,Forward
Colombia,Carlos Andrés Gómez,Vasco Da Gama-BRA,Forward
Colombia,Luis Díaz,Bayern Munich-GER,Forward
Colombia,"Juan Camilo ""Cucho"" Hernández",Real Betis,Forward
Colombia,Luis Javier Suárez,Sporting CP,Forward
England,Jordan Pickford,Everton,Goalkeeper
England,Dean Henderson,Crystal Palace,Goalkeeper
England,James Trafford,Manchester City,Goalkeeper
England,Reece James,Chelsea,Defender
England,Ezri Konsa,Aston Villa,Defender
England,Jarell Quansah,Bayer Leverkusen,Defender
England,John Stones,Manchester City,Defender
England,Marc Guéhi,Manchester City,Defender
England,Dan Burn,Newcastle United,Defender
England,Nico O'Reilly,Manchester City,Defender
England,Djed Spence,Tottenham Hotspur,Defender
England,Tino Livramento,Newcastle United,Defender
England,Declan Rice,Arsenal,Midfielder
England,Elliot Anderson,Nottingham Forest,Midfielder
England,Kobbie Mainoo,Manchester United,Midfielder
England,Jordan Henderson,Brentford,Midfielder
England,Morgan Rogers,Aston Villa,Midfielder
England,Jude Bellingham,Real Madrid,Midfielder
England,Eberechi Eze,Arsenal,Midfielder
England,Harry Kane,Bayern Munich,Forward
England,Ivan Toney,Al-Ahli,Forward
England,Ollie Watkins,Aston Villa,Forward
England,Bukayo Saka,Arsenal,Forward
England,Marcus Rashford,Barcelona,Forward
England,Anthony Gordon,Newcastle United,Forward
England,Noni Madueke,Arsenal,Forward
Croatia,Dominik Kotarski,Kobenhavn,Goalkeeper
Croatia,Ivor Pandur,Hull City,Goalkeeper
Croatia,Dominic Livakovic,Dinamo,Goalkeeper
Croatia,Josko Gvardiol,Manchester City,Defender
Croatia,Duje Caleta-Car,Real Sociedad,Defender
Croatia,Josip Sutalo,Ajax,Defender
Croatia,Josip Stanisic,Bayern Munich,Defender
Croatia,Marin Pongracic,Fiorentina,Defender
Croatia,Martin Erlic,Midtjylland,Defender
Croatia,Luka Vuskovic,Hamburg,Defender
Croatia,Luka Modric,AC Milan,Midfielder
Croatia,Mateo Kovacic,Manchester City,Midfielder
Croatia,Mario Pasalic,Atalanta,Midfielder
Croatia,Nikola Vlasic,Torino,Midfielder
Croatia,Luka Sucic,Real Sociedad,Midfielder
Croatia,Martin Baturina,Como,Midfielder
Croatia,Kristijan Jakic,Augsburg,Midfielder
Croatia,Petar Sucic,Inter Milan,Midfielder
Croatia,Nikola Moro,Bologna,Midfielder
Croatia,Toni Fruk,Rijeka,Midfielder
Croatia,Ivan Perisic,PSV Eindhoven,Forward
Croatia,Andrej Kramaric,Hoffenheim,Forward
Croatia,Ante Budimir,Osasuna,Forward
Croatia,Marco Pasalic,Orlando City,Forward
Croatia,Petar Musa,FC Dallas,Forward
Croatia,Igor Matanovic,Freiburg,Forward
Ghana,Benjamin Asare,Accra Hearts of Oak,Goalkeeper
Ghana,Lawrence Ati-Zigi,St. Gallen,Goalkeeper
Ghana,Joseph Anang,St. Patrick's Athletic,Goalkeeper
Ghana,Gideon Mensah,Auxerre,Defender
Ghana,Alidu Seidu,Rennes,Defender
Ghana,Alexander Djiku,Spartak Moscow,Defender
Ghana,Baba Rahman,PAOK Salónica,Defender
Ghana,Daniel Amartey,Beşiktaş,Defender
Ghana,Mohammed Salisu,AS Monaco,Defender
Ghana,Stephan Ambrosius,FC St. Gallen,Defender
Ghana,Tariq Lamptey,Brighton & Hove Albion,Defender
Ghana,Elisha Owusu,AJ Auxerre,Midfielder
Ghana,Thomas Partey,Villarreal,Midfielder
Ghana,Christopher Bonsu Baah,KRC Genk,Midfielder
Ghana,Ernest Nuamah,Olympique de Lyon,Midfielder
Ghana,Forson Amankwah,RB Salzburg,Midfielder
Ghana,Iddrisu Baba,UD Almería,Midfielder
Ghana,Majeed Ashimeru,RSC Anderlecht,Midfielder
Ghana,Salis Abdul Samed,RC Lens,Midfielder
Ghana,Abdul Fatawu Issahaku,Leicester City,Forward
Ghana,Antoine Semenyo,Manchester City,Forward
Ghana,Iñaki Williams,Athletic Bilbao,Forward
Ghana,Jordan Ayew,Leicester City,Forward
Ghana,Joseph Paintsil,LA Galaxy,Forward
Ghana,Kamaldeen Sulemana,Southampton FC,Forward
Ghana,Osman Bukari,Austin FC,Forward
Panama,Orlando Mosquera,Al Fayha,Goalkeeper
Panama,Luis Mejía,Nacional,Goalkeeper
Panama,César Samudio,Marathón,Goalkeeper
Panama,César Blackman,Slovan Bratislava,Defender
Panama,Jorge Gutiérrez,Deportivo La Guaira,Defender
Panama,Amir Murillo,Beşiktaş,Defender
Panama,Fidel Escobar,Saprissa,Defender
Panama,Andrés Andrade,LASK,Defender
Panama,Edgardo Fariña,Pari Nizhny Novgorod,Defender
Panama,José Córdoba,Norwich City,Defender
Panama,Éric Davis,Plaza Amador,Defender
Panama,Jiovany Ramos,Puerto Cabello,Defender
Panama,Roderick Miller,Turan Tovuz,Defender
Panama,Aníbal Godoy,San Diego FC,Midfielder
Panama,Adalberto Carrasquilla,Pumas UNAM,Midfielder
Panama,Carlos Harvey,Minnesota United,Midfielder
Panama,Cristian Martínez,Ironi Kiryat Shmona,Midfielder
Panama,José Luis Rodríguez,Juárez,Midfielder
Panama,César Yanis,Cobresal,Midfielder
Panama,Yoel Bárcenas,Mazatlán,Midfielder
Panama,Alberto Quintero,Plaza Amador,Midfielder
Panama,Azarias Londoño,Universidad Católica,Midfielder
Panama,Ismael Díaz,Universidad Católica (Ecuador),Forward
Panama,Cecilio Waterman,Alianza Lima (Perú),Forward
Panama,José Fajardo,Universidad Católica (Ecuador),Forward
Panama,Tomás Rodríguez,Monagas SC (Venezuela),Forward
