team_canonical,player_name,club,position_broad
Qatar,Akram Afif,Al Sadd,Forward
Qatar,Yusuf Abdurisag,Al Wakrah,Forward
Qatar,Ahmed Al-Rawi,Al-Rayyan SC,Forward
Qatar,Ahmed Alaaeldin,Al-Gharafa SC,Forward
Qatar,Ismaeel Mohammad,Al-Duhail SC,Forward
Qatar,Khalid Muneer,Al-Wakrah SC,Forward
Qatar,Tameem Al-Abdullah,Al-Rayyan SC,Forward
Switzerland,Gregor Kobel,Borussia Dortmund,Goalkeeper
Switzerland,Jonas Omlin,Borussia Mönchengladbach,Goalkeeper
Switzerland,Philipp Köhn,AS Monaco,Goalkeeper
Switzerland,Manuel Akanji,Inter Milan,Defender
Switzerland,Nico Elvedi,Borussia Mönchengladbach,Defender
Switzerland,Ricardo Rodríguez,Real Betis,Defender
Switzerland,Silvan Widmer,Mainz,Defender
Switzerland,Cédric Zesiger,VfL Wolfsburg,Defender
Switzerland,Fabian Schär,Newcastle United,Defender
Switzerland,Leonidas Stergiou,VfB Stuttgart,Defender
Switzerland,Ulisses Garcia,Olympique de Marsella,Defender
Switzerland,Granit Xhaka,Sunderland,Midfielder
Switzerland,Remo Freuler,Bologna,Midfielder
Switzerland,Denis Zakaria,Monaco,Midfielder
Switzerland,Ardon Jashari,AC Milan,Midfielder
Switzerland,Djibril Sow,Sevilla,Midfielder
Switzerland,Michel Aebischer,Pisa,Midfielder
Switzerland,Fabian Rieder,Augsburg,Midfielder
Switzerland,Vincent Sierro,Toulouse FC,Midfielder
Switzerland,Ruben Vargas,FC Augsburg,Forward
Switzerland,Breel Embolo,Rennes,Forward
Switzerland,Noah Okafor,Leeds,Forward
Switzerland,Dan Ndoye,Nottingham Forest,Forward
Switzerland,Zeki Amdouni,Burnley,Forward
Switzerland,Andi Zeqiri,KRC Genk,Forward
Switzerland,Kwadwo Duah,Ludogorets Razgrad,Forward
Brazil,Éderson,Fenerbahce,Goalkeeper
Brazil,Weverton,Grêmio,Goalkeeper
Brazil,Alisson Becker,Liverpool,Goalkeeper
Brazil,Alex Sandro,Flamengo,Defender
Brazil,Bremer,Juventus,Defender
Brazil,Danilo,Flamengo,Defender
Brazil,Douglas Santos,Zenit St. Petersburg,Defender
Brazil,Gabriel Magalhães,Arsenal,Defender
Brazil,Léo Pereira,Flamengo,Defender
Brazil,Marquinhos,Paris Saint-Germain,Defender
Brazil,Roger Ibañez,Al Ahli,Defender
Brazil,Wesley França,AS Roma,Defender
Brazil,Bruno Guimarães,Newcastle United,Midfielder
Brazil,Casemiro,Manchester United,Midfielder
Brazil,Danilo Santos,Botafogo,Midfielder
Brazil,Fabinho,Al Ittihad,Midfielder
Brazil,Lucas Paquetá,Flamengo,Midfielder
Brazil,Endrick,Lyon,Forward
Brazil,Gabriel Martinelli,Arsenal,Forward
Brazil,Igor Thiago,Brentford,Forward
Brazil,Luiz Henrique,Zenit St. Petersburg,Forward
Brazil,Matheus Cunha,Manchester United,Forward
Brazil,Raphinha,Barcelona,Forward
Brazil,Rayan,Bournemouth,Forward
Brazil,Vinícius Júnior,Real Madrid,Forward
